tau,strike,option_type,bid,ask
0.250000,80.000000,Put,0.4931143553,0.5030762615
0.250000,90.000000,Put,1.8929731959,1.9312150786
0.250000,100.000000,Call,5.7552157888,5.8714827744
0.250000,110.000000,Call,1.9477462443,1.9870946532
0.250000,120.000000,Call,0.4060421814,0.4142450538
0.500000,80.000000,Put,1.4634943761,1.4930599191
0.500000,90.000000,Put,3.4846158726,3.5550121529
0.500000,100.000000,Call,8.0312662046,8.1935140067
0.500000,110.000000,Call,3.7766158720,3.8529111421
0.500000,120.000000,Call,1.3617258683,1.3892354818
1.000000,80.000000,Put,3.1375070224,3.2008910027
1.000000,90.000000,Put,5.5992882883,5.7124052234
1.000000,100.000000,Call,11.1064183129,11.3307904000
1.000000,110.000000,Call,6.4833625424,6.6143395634
1.000000,120.000000,Call,3.2413617750,3.3068438310
1.500000,80.000000,Put,4.4504324499,4.5403401761
1.500000,90.000000,Put,7.0585576044,7.2011547277
1.500000,100.000000,Call,13.3974635254,13.6681193542
1.500000,110.000000,Call,8.5952436052,8.7688848901
1.500000,120.000000,Call,4.9134433583,5.0127048403
2.000000,80.000000,Put,5.5299469527,5.6416630527
2.000000,90.000000,Put,8.1881405260,8.3535575063
2.000000,100.000000,Call,15.3110414136,15.6203553815
2.000000,110.000000,Call,10.4046133342,10.6148075429
2.000000,120.000000,Call,6.4378230396,6.5678800707
